Time,Real_Angle
0,0.062
0.01,0.0628
0.02,0.0634
0.03,0.0637
0.04,0.0638
0.05,0.0628
0.06,0.0619
0.07,0.0613
0.08,0.0608
0.09,0.0607
0.1,0.0616
0.11,0.0636
0.12,0.0675
0.13,0.0708
0.14,0.0743
0.15,0.079
0.16,0.0829
0.17,0.0844
0.18,0.0825
0.19,0.0807
0.2,0.0794
0.21,0.078
0.22,0.0775
0.23,0.0782
0.24,0.0788
0.25,0.0795
0.26,0.0803
0.27,0.0791
0.28,0.078
0.29,0.0773
0.3,0.0774
0.31,0.0781
0.32,0.0785
0.33,0.078
0.34,0.0788
0.35,0.0798
0.36,0.0805
0.37,0.0807
0.38,0.081
0.39,0.0813
0.4,0.0803
0.41,0.0794
0.42,0.0785
0.43,0.0783
0.44,0.0789
0.45,0.0798
0.46,0.0809
0.47,0.0819
0.48,0.0814
0.49,0.0804
0.5,0.0795
0.51,0.0787
0.52,0.0801
0.53,0.0815
0.54,0.0826
0.55,0.0833
0.56,0.0821
0.57,0.081
0.58,0.0819
0.59,0.0815
0.6,0.0768
0.61,0.0657
0.62,0.0542
0.63,0.0452
0.64,0.0412
0.65,0.0423
0.66,0.0479
0.67,0.0535
0.68,0.0574
0.69,0.0596
0.7,0.059
0.71,0.0576
0.72,0.0566
0.73,0.0581
0.74,0.0596
0.75,0.0591
0.76,0.058
0.77,0.0569
0.78,0.0558
0.79,0.0568
0.8,0.058
0.81,0.0578
0.82,0.0568
0.83,0.0557
0.84,0.0549
0.85,0.056
0.86,0.0575
0.87,0.059
0.88,0.0602
0.89,0.0599
0.9,0.0585
0.91,0.0573
0.92,0.0574
0.93,0.0582
0.94,0.0593
0.95,0.0599
0.96,0.0593
0.97,0.0584
0.98,0.0592
0.99,0.0599
1,0.0602
1.01,0.0591
1.02,0.0582
1.03,0.0573
1.04,0.0584
1.05,0.0593
1.06,0.0595
1.07,0.0586
1.08,0.0593
1.09,0.0603
1.1,0.0592
1.11,0.0582
1.12,0.0578
1.13,0.0589
1.14,0.0593
1.15,0.0593
1.16,0.06
1.17,0.059
1.18,0.0581
1.19,0.0591
1.2,0.0581
1.21,0.0571
1.22,0.0578
1.23,0.0589
1.24,0.0582
1.25,0.0589
1.26,0.0588
1.27,0.0579
1.28,0.0587
1.29,0.0577
1.3,0.0574
