Time,Real_Angle
0,0.0701
0.01,0.0692
0.02,0.0686
0.03,0.0677
0.04,0.0668
0.05,0.0659
0.06,0.065
0.07,0.0645
0.08,0.0649
0.09,0.0668
0.1,0.0714
0.11,0.0755
0.12,0.0791
0.13,0.0803
0.14,0.0835
0.15,0.0862
0.16,0.0874
0.17,0.0858
0.18,0.0855
0.19,0.0865
0.2,0.0873
0.21,0.0876
0.22,0.0862
0.23,0.0848
0.24,0.0857
0.25,0.0868
0.26,0.0858
0.27,0.0867
0.28,0.0875
0.29,0.0873
0.3,0.0881
0.31,0.089
0.32,0.0885
0.33,0.0875
0.34,0.0883
0.35,0.0891
0.36,0.0881
0.37,0.089
0.38,0.0899
0.39,0.0888
0.4,0.0881
0.41,0.0886
0.42,0.0876
0.43,0.0878
0.44,0.0882
0.45,0.0873
0.46,0.0879
0.47,0.0873
0.48,0.0863
0.49,0.0863
0.5,0.0855
0.51,0.0849
0.52,0.0855
0.53,0.0852
0.54,0.0845
0.55,0.0854
0.56,0.0864
0.57,0.0873
0.58,0.0869
0.59,0.0819
0.6,0.074
0.61,0.0653
0.62,0.0581
0.63,0.0532
0.64,0.0506
0.65,0.052
0.66,0.055
0.67,0.0585
0.68,0.0611
0.69,0.061
0.7,0.0631
0.71,0.0662
0.72,0.0687
0.73,0.0674
0.74,0.0652
0.75,0.066
0.76,0.0655
0.77,0.0646
0.78,0.0632
0.79,0.0639
0.8,0.0649
0.81,0.0641
0.82,0.0648
0.83,0.0658
0.84,0.0648
0.85,0.0652
0.86,0.0659
0.87,0.0649
0.88,0.0654
0.89,0.066
0.9,0.065
0.91,0.0649
0.92,0.0643
0.93,0.0633
0.94,0.0629
0.95,0.062
0.96,0.0612
0.97,0.0611
0.98,0.062
0.99,0.0621
1,0.0623
1.01,0.0613
1.02,0.0605
1.03,0.0596
1.04,0.0598
1.05,0.0591
1.06,0.0591
1.07,0.0601
1.08,0.0609
1.09,0.0619
1.1,0.0626
1.11,0.0628
1.12,0.062
1.13,0.0611
1.14,0.0601
1.15,0.061
1.16,0.062
1.17,0.063
1.18,0.0636
1.19,0.0634
1.2,0.0634
1.21,0.0624
1.22,0.0617
1.23,0.0608
1.24,0.0617
1.25,0.0619
1.26,0.0623
1.27,0.0633
1.28,0.0627
1.29,0.0617
1.3,0.0613
1.31,0.0603
1.32,0.0604
1.33,0.0614
1.34,0.0623
1.35,0.0633
1.36,0.0636
1.37,0.063
1.38,0.0622
1.39,0.0614
1.4,0.0616
1.41,0.0621
1.42,0.0624
1.43,0.0634
1.44,0.0641
1.45,0.0647
1.46,0.0637
1.47,0.0627
1.48,0.0617
1.49,0.0616
1.5,0.0625
1.51,0.0631
1.52,0.0639
1.53,0.0649
1.54,0.0651
1.55,0.0643
1.56,0.0637
1.57,0.0627
1.58,0.0622
1.59,0.064
1.6,0.07
1.61,0.0754
1.62,0.0774
1.63,0.0746
1.64,0.0725
1.65,0.0741
1.66,0.0758
1.67,0.0764
1.68,0.0746
1.69,0.0732
1.7,0.0742
1.71,0.075
1.72,0.0735
1.73,0.0719
1.74,0.0708
1.75,0.0721
1.76,0.0719
1.77,0.0709
1.78,0.072
1.79,0.0725
1.8,0.0715
1.81,0.0724
1.82,0.0721
1.83,0.0711
1.84,0.072
1.85,0.0731
1.86,0.0726
1.87,0.0727
1.88,0.0717
1.89,0.0708
1.9,0.0711
1.91,0.0701
1.92,0.0691
1.93,0.0697
1.94,0.0705
1.95,0.0714
1.96,0.0721
