Time,Real_Angle
0,0.0619
0.01,0.0618
0.02,0.0628
0.03,0.0622
0.04,0.0617
0.05,0.0625
0.06,0.0625
0.07,0.0617
0.08,0.0607
0.09,0.0599
0.1,0.0595
0.11,0.06
0.12,0.063
0.13,0.0662
0.14,0.069
0.15,0.0696
0.16,0.0705
0.17,0.0721
0.18,0.0763
0.19,0.0809
0.2,0.0848
0.21,0.0864
0.22,0.0892
0.23,0.0919
0.24,0.0939
0.25,0.0932
0.26,0.092
0.27,0.0919
0.28,0.0929
0.29,0.0922
0.3,0.0925
0.31,0.0929
0.32,0.0931
0.33,0.0937
0.34,0.0942
0.35,0.0928
0.36,0.0907
0.37,0.0905
0.38,0.0904
0.39,0.0894
0.4,0.0854
0.41,0.0813
0.42,0.078
0.43,0.0754
0.44,0.0749
0.45,0.0735
0.46,0.0716
0.47,0.0701
0.48,0.0709
0.49,0.0719
0.5,0.0706
0.51,0.0688
0.52,0.0672
0.53,0.0682
0.54,0.0693
0.55,0.0683
0.56,0.0673
0.57,0.0683
0.58,0.0696
0.59,0.0707
0.6,0.0694
0.61,0.068
0.62,0.0678
0.63,0.0687
0.64,0.0684
0.65,0.0657
0.66,0.061
0.67,0.0572
0.68,0.0544
0.69,0.0547
0.7,0.056
0.71,0.057
0.72,0.0577
0.73,0.0569
0.74,0.0531
0.75,0.0495
0.76,0.0471
0.77,0.0456
0.78,0.0468
0.79,0.046
0.8,0.0448
0.81,0.0439
0.82,0.0453
0.83,0.0468
0.84,0.0459
0.85,0.0448
0.86,0.0446
0.87,0.0454
0.88,0.049
0.89,0.0519
0.9,0.0512
0.91,0.0504
0.92,0.0489
0.93,0.0501
0.94,0.0523
0.95,0.0528
0.96,0.0525
0.97,0.0518
0.98,0.0536
0.99,0.0559
1,0.0565
1.01,0.0556
1.02,0.0562
1.03,0.0573
1.04,0.0567
1.05,0.0563
1.06,0.0573
1.07,0.0577
1.08,0.0566
1.09,0.0575
1.1,0.0586
1.11,0.0594
1.12,0.0595
1.13,0.0575
1.14,0.0558
1.15,0.055
1.16,0.056
1.17,0.057
1.18,0.0579
1.19,0.0584
1.2,0.0558
1.21,0.0531
