Time,Real_Angle
0,0.0757
0.01,0.075
0.02,0.0743
0.03,0.0735
0.04,0.0732
0.05,0.0732
0.06,0.0725
0.07,0.0715
0.08,0.0705
0.09,0.0696
0.1,0.0689
0.11,0.0691
0.12,0.0724
0.13,0.0763
0.14,0.0796
0.15,0.0807
0.16,0.0835
0.17,0.0884
0.18,0.0967
0.19,0.1036
0.2,0.107
0.21,0.1065
0.22,0.107
0.23,0.1096
0.24,0.115
0.25,0.1188
0.26,0.1199
0.27,0.1186
0.28,0.12
0.29,0.1215
0.3,0.1225
0.31,0.1224
0.32,0.1206
0.33,0.1191
0.34,0.1173
0.35,0.1159
0.36,0.1167
0.37,0.1163
0.38,0.1133
0.39,0.1066
0.4,0.1005
0.41,0.0957
0.42,0.0924
0.43,0.092
0.44,0.0914
0.45,0.0897
0.46,0.0853
0.47,0.0819
0.48,0.0798
0.49,0.0788
0.5,0.08
0.51,0.079
0.52,0.0779
0.53,0.0789
0.54,0.0799
0.55,0.0789
0.56,0.0779
0.57,0.0775
0.58,0.0792
0.59,0.0806
0.6,0.0792
0.61,0.0775
0.62,0.0781
0.63,0.0791
0.64,0.0786
0.65,0.0751
0.66,0.0683
0.67,0.0627
0.68,0.0586
0.69,0.0559
0.7,0.0564
0.71,0.0576
0.72,0.0575
0.73,0.053
0.74,0.0484
0.75,0.0453
0.76,0.0455
0.77,0.0464
0.78,0.0446
0.79,0.0426
0.8,0.0434
0.81,0.0448
0.82,0.044
0.83,0.0428
0.84,0.0437
0.85,0.0428
0.86,0.0418
0.87,0.0433
0.88,0.0468
0.89,0.0514
0.9,0.0545
0.91,0.055
0.92,0.0546
0.93,0.0552
0.94,0.0584
0.95,0.0617
0.96,0.0643
0.97,0.0657
0.98,0.0643
0.99,0.0631
1,0.0623
1.01,0.0633
1.02,0.0624
1.03,0.0616
1.04,0.0626
1.05,0.0633
1.06,0.0627
1.07,0.0637
1.08,0.0645
1.09,0.0648
1.1,0.0629
1.11,0.0612
1.12,0.0606
1.13,0.0609
1.14,0.0596
1.15,0.0558
1.16,0.0532
1.17,0.0526
1.18,0.0535
1.19,0.0543
1.2,0.0532
1.21,0.0539
1.22,0.0549
1.23,0.0558
1.24,0.0561
1.25,0.0568
1.26,0.056
1.27,0.055
1.28,0.0549
1.29,0.0556
1.3,0.0563
1.31,0.0573
1.32,0.0583
1.33,0.0592
1.34,0.0582
1.35,0.0572
1.36,0.0564
1.37,0.056
1.38,0.0583
1.39,0.0606
1.4,0.0599
1.41,0.0582
1.42,0.0567
1.43,0.0562
1.44,0.0585
1.45,0.0611
1.46,0.0631
1.47,0.0641
1.48,0.0628
1.49,0.0639
1.5,0.0653
1.51,0.0642
1.52,0.065
1.53,0.0662
1.54,0.0666
1.55,0.066
1.56,0.067
1.57,0.068
1.58,0.069
1.59,0.07
1.6,0.0692
1.61,0.0683
1.62,0.0679
1.63,0.0684
1.64,0.0714
1.65,0.0744
1.66,0.0755
1.67,0.0766
1.68,0.0797
1.69,0.0824
1.7,0.0843
1.71,0.0837
1.72,0.0838
1.73,0.085
1.74,0.0887
1.75,0.0919
1.76,0.0933
1.77,0.0918
1.78,0.0907
1.79,0.092
1.8,0.0932
1.81,0.0939
1.82,0.0925
1.83,0.0914
1.84,0.0926
1.85,0.0934
1.86,0.0938
1.87,0.092
1.88,0.0905
1.89,0.0914
1.9,0.0923
1.91,0.093
1.92,0.0925
1.93,0.0898
1.94,0.0841
1.95,0.0793
1.96,0.076
1.97,0.0745
1.98,0.0767
1.99,0.0793
2,0.0809
2,0.0796
2,0.0781
2.01,0.0793
2.02,0.0805
2.03,0.0795
2.04,0.0783
2.05,0.0792
2.06,0.0782
2.07,0.0771
2.08,0.0781
2.09,0.0778
2.1,0.0769
2.11,0.0778
2.12,0.0788
2.13,0.0797
2.14,0.0798
2.15,0.0785
2.16,0.0774
2.17,0.0765
2.18,0.0765
2.19,0.0775
2.2,0.0783
2.21,0.078
2.22,0.074
2.23,0.0699
2.24,0.0671
2.25,0.0658
2.26,0.0671
2.27,0.0664
2.28,0.0652
2.29,0.0646
2.3,0.0657
2.31,0.0648
2.32,0.0637
2.33,0.0646
2.34,0.0638
2.35,0.0627
2.36,0.062
2.37,0.064
2.38,0.0668
2.39,0.0691
2.4,0.0679
2.41,0.0662
2.42,0.0657
2.43,0.0686
2.44,0.0713
2.45,0.0725
2.46,0.0706
2.47,0.069
2.48,0.0704
