Time,Torque
0,0
0.01,0.1283
0.02,0.2537
0.03,0.3559
0.04,0.4237
0.05,0.4599
0.06,0.4713
0.07,0.4687
0.08,0.4618
0.09,0.4553
0.1,0.4453
0.11,0.425
0.12,0.397
0.13,0.3659
0.14,0.3375
0.15,0.314
0.16,0.2926
0.17,0.2743
0.18,0.2659
0.19,0.2668
0.2,0.2709
0.21,0.2762
0.22,0.2818
0.23,0.2874
0.24,0.2925
0.25,0.2969
0.26,0.3028
0.27,0.3092
0.28,0.315
0.29,0.3203
0.3,0.3233
0.31,0.3222
0.32,0.3172
0.33,0.3103
0.34,0.3017
0.35,0.2965
0.36,0.2971
0.37,0.2982
0.38,0.2971
0.39,0.2953
0.4,0.2954
0.41,0.2966
0.42,0.2959
0.43,0.293
0.44,0.2906
0.45,0.2916
0.46,0.2949
0.47,0.2993
0.48,0.3032
0.49,0.3051
0.5,0.3061
0.51,0.1498
0.52,-0.0046
0.53,-0.1339
0.54,-0.2244
0.55,-0.2724
0.56,-0.2817
0.57,-0.2624
0.58,-0.2246
0.59,-0.176
0.6,-0.1246
0.61,-0.0773
0.62,-0.0375
0.63,-0.009
0.64,0.0022
0.65,-0.0014
0.66,-0.0116
0.67,-0.027
0.68,-0.0461
0.69,-0.0663
0.7,-0.0838
0.71,-0.0957
0.72,-0.1044
0.73,-0.1078
0.74,-0.1018
0.75,-0.0897
0.76,-0.0774
0.77,-0.0631
0.78,-0.0503
0.79,-0.0425
0.8,-0.0378
0.81,-0.0364
0.82,-0.0387
0.83,-0.0463
0.84,-0.0557
0.85,-0.0635
0.86,-0.0717
0.87,-0.0753
0.88,-0.0713
0.89,-0.0659
0.9,-0.0635
0.91,-0.0644
0.92,-0.0667
0.93,-0.0688
0.94,-0.0714
0.95,-0.0749
0.96,-0.0783
0.97,-0.0811
0.98,-0.0807
0.99,-0.0782
1,-0.0749
1.01,-0.0695
1.02,-0.0643
1.03,-0.0616
1.04,-0.061
1.05,-0.0629
1.06,-0.0675
1.07,-0.0706
1.08,-0.0705
1.09,-0.0705
1.1,-0.0705
1.11,-0.0706
1.12,-0.0722
1.13,-0.0745
1.14,-0.0742
1.15,-0.0691
1.16,-0.0625
1.17,-0.0616
1.18,-0.063
1.19,-0.0632
1.2,-0.0624
1.21,-0.0596
1.22,-0.0577
1.23,-0.059
1.24,-0.0604
1.25,-0.062
1.26,-0.0659
1.27,-0.0686
1.28,-0.0689
1.29,-0.0707
1.3,-0.074
1.31,-0.0762
1.32,-0.0771
1.33,-0.0763
1.34,-0.0761
1.35,-0.0772
1.36,-0.0793
1.37,-0.08
1.38,-0.0763
1.39,-0.0712
1.4,-0.0666
1.41,-0.0619
1.42,-0.0575
1.43,-0.0542
1.44,-0.053
1.45,-0.0538
1.46,-0.0574
1.47,-0.0625
1.48,-0.0647
1.49,-0.0655
1.5,-0.0666
1.51,0.014
1.52,0.0922
1.53,0.1561
1.54,0.202
1.55,0.2264
1.56,0.2309
1.57,0.2223
1.58,0.2049
1.59,0.182
1.6,0.155
1.61,0.1269
1.62,0.101
1.63,0.0804
1.64,0.0699
1.65,0.0693
1.66,0.0746
1.67,0.0872
1.68,0.1037
1.69,0.1182
1.7,0.1298
1.71,0.1378
1.72,0.1433
1.73,0.1426
1.74,0.1343
1.75,0.1221
1.76,0.1112
1.77,0.1048
1.78,0.1021
1.79,0.1026
1.8,0.1071
1.81,0.1133
1.82,0.1161
1.83,0.1154
1.84,0.1126
1.85,0.1083
1.86,0.105
1.87,0.1025
1.88,0.1006
1.89,0.1033
1.9,0.1075
1.91,0.1102
1.92,0.1117
1.93,0.111
1.94,0.1123
1.95,0.115
1.96,0.115
1.97,0.1125
1.98,0.109
1.99,0.107
2,0.1061
2.01,0.0105
2.02,-0.0785
2.03,-0.1514
2.04,-0.204
2.05,-0.235
2.06,-0.2435
2.07,-0.2342
2.08,-0.2141
2.09,-0.1873
2.1,-0.1581
2.11,-0.1326
2.12,-0.1126
2.13,-0.0961
2.14,-0.0824
2.15,-0.0769
2.16,-0.0779
2.17,-0.0795
2.18,-0.0831
2.19,-0.0909
2.2,-0.1003
2.21,-0.1084
2.22,-0.1171
2.23,-0.1254
2.24,-0.1315
2.25,-0.1334
2.26,-0.1313
2.27,-0.1287
2.28,-0.1244
2.29,-0.1166
2.3,-0.1089
2.31,-0.1027
2.32,-0.0984
2.33,-0.0965
2.34,-0.0997
2.35,-0.1045
2.36,-0.1092
2.37,-0.115
2.38,-0.1185
2.39,-0.1179
2.4,-0.1172
2.41,-0.1185
2.42,-0.1212
2.43,-0.1221
2.44,-0.1203
2.45,-0.1191
2.46,-0.1211
2.47,-0.1259
2.48,-0.1301
2.49,-0.1294
2.5,-0.1248
2.51,-0.2457
2.52,-0.361
2.53,-0.4564
2.54,-0.524
2.55,-0.5604
2.56,-0.5685
2.57,-0.5538
2.58,-0.5241
2.59,-0.4885
2.6,-0.4514
2.61,-0.4168
2.62,-0.3913
2.63,-0.3775
2.64,-0.3705
2.65,-0.3683
2.66,-0.3758
2.67,-0.39
2.68,-0.4028
2.69,-0.4122
2.7,-0.4198
2.71,-0.4251
2.72,-0.4302
2.73,-0.4334
2.74,-0.4306
2.75,-0.4256
2.76,-0.4204
2.77,-0.4125
2.78,-0.4048
2.79,-0.3992
2.8,-0.3954
2.81,-0.394
2.82,-0.391
2.83,-0.3858
2.84,-0.3843
2.85,-0.3889
2.86,-0.3982
2.87,-0.4076
2.88,-0.4119
2.89,-0.4135
2.9,-0.4153
2.91,-0.4149
2.92,-0.4115
2.93,-0.4062
2.94,-0.4003
2.95,-0.3959
2.96,-0.3947
2.97,-0.3965
2.98,-0.3999
2.99,-0.4043
3,-0.4088
3,-0.4088
3,-0.4088
3.01,-0.24
3.02,-0.0794
3.03,0.0548
3.04,0.1537
3.05,0.2151
3.06,0.2401
3.07,0.2294
3.08,0.1925
3.09,0.1395
3.1,0.0803
3.11,0.0266
3.12,-0.0155
3.13,-0.0421
3.14,-0.0532
3.15,-0.0523
3.16,-0.0422
3.17,-0.0265
3.18,-0.0102
3.19,0.0041
3.2,0.0132
3.21,0.0188
3.22,0.023
3.23,0.0266
3.24,0.0286
3.25,0.0241
3.26,0.017
3.27,0.0118
3.28,0.0095
3.29,0.0101
3.3,0.0093
3.31,0.0057
3.32,0.0027
3.33,0.0029
3.34,0.0046
3.35,0.006
3.36,0.0069
3.37,0.0061
3.38,0.0062
3.39,0.007
3.4,0.0057
3.41,0.0023
