Time,TVC_Angle
0,0
0.01,0.007442
0.02,0.013515
0.03,0.017519
0.04,0.019667
0.05,0.022989
0.06,0.025527
0.07,0.027695
0.08,0.030017
0.09,0.03254
0.1,0.031986
0.11,0.030682
0.12,0.028805
0.13,0.026683
0.14,0.024739
0.15,0.023134
0.16,0.021671
0.17,0.02042
0.18,0.019896
0.19,0.020057
0.2,0.020332
0.21,0.020692
0.22,0.021078
0.23,0.02146
0.24,0.021802
0.25,0.022089
0.26,0.02249
0.27,0.022926
0.28,0.023315
0.29,0.023667
0.3,0.023844
0.31,0.023723
0.32,0.023313
0.33,0.022768
0.34,0.0221
0.35,0.021681
0.36,0.021688
0.37,0.021735
0.38,0.021619
0.39,0.021448
0.4,0.021419
0.41,0.021473
0.42,0.021383
0.43,0.021138
0.44,0.020928
0.45,0.020967
0.46,0.021167
0.47,0.02145
0.48,0.021693
0.49,0.021797
0.5,0.021879
0.51,0.010709
0.52,-0.000326
0.53,-0.009582
0.54,-0.016072
0.55,-0.019518
0.56,-0.020196
0.57,-0.018822
0.58,-0.016113
0.59,-0.012638
0.6,-0.008947
0.61,-0.005554
0.62,-0.002693
0.63,-0.000647
0.64,0.000157
0.65,-0.000103
0.66,-0.000832
0.67,-0.001947
0.68,-0.003328
0.69,-0.004787
0.7,-0.006051
0.71,-0.006915
0.72,-0.007546
0.73,-0.007793
0.74,-0.007366
0.75,-0.006491
0.76,-0.005607
0.77,-0.004573
0.78,-0.003649
0.79,-0.003085
0.8,-0.002743
0.81,-0.002644
0.82,-0.00281
0.83,-0.003362
0.84,-0.004052
0.85,-0.004618
0.86,-0.005218
0.87,-0.005481
0.88,-0.005197
0.89,-0.0048
0.9,-0.004629
0.91,-0.004702
0.92,-0.00487
0.93,-0.005028
0.94,-0.005215
0.95,-0.005478
0.96,-0.005726
0.97,-0.005934
0.98,-0.005907
0.99,-0.005729
1,-0.005488
1.01,-0.005096
1.02,-0.004713
1.03,-0.004519
1.04,-0.004475
1.05,-0.004614
1.06,-0.004955
1.07,-0.005182
1.08,-0.00518
1.09,-0.005176
1.1,-0.005178
1.11,-0.005187
1.12,-0.005305
1.13,-0.005477
1.14,-0.00546
1.15,-0.005082
1.16,-0.004596
1.17,-0.004535
1.18,-0.004635
1.19,-0.004653
1.2,-0.004593
1.21,-0.004389
1.22,-0.004251
1.23,-0.004352
1.24,-0.004455
1.25,-0.004572
1.26,-0.004863
1.27,-0.005065
1.28,-0.005085
1.29,-0.005223
1.3,-0.005469
1.31,-0.005629
1.32,-0.005698
1.33,-0.005638
1.34,-0.005624
1.35,-0.005706
1.36,-0.005862
1.37,-0.005918
1.38,-0.005648
1.39,-0.005271
1.4,-0.004932
1.41,-0.004581
1.42,-0.004261
1.43,-0.004014
1.44,-0.003929
1.45,-0.003985
1.46,-0.00426
1.47,-0.004636
1.48,-0.004799
1.49,-0.00486
1.5,-0.004945
1.51,0.001037
1.52,0.006849
1.53,0.011601
1.54,0.015009
1.55,0.016827
1.56,0.017166
1.57,0.016532
1.58,0.015245
1.59,0.013541
1.6,0.011534
1.61,0.009445
1.62,0.007518
1.63,0.005992
1.64,0.005205
1.65,0.005164
1.66,0.00556
1.67,0.006505
1.68,0.007738
1.69,0.008815
1.7,0.009683
1.71,0.010288
1.72,0.010701
1.73,0.010646
1.74,0.01003
1.75,0.00912
1.76,0.00831
1.77,0.007834
1.78,0.007633
1.79,0.007677
1.8,0.008016
1.81,0.008476
1.82,0.008693
1.83,0.008641
1.84,0.008435
1.85,0.00811
1.86,0.007868
1.87,0.00768
1.88,0.00754
1.89,0.007745
1.9,0.008062
1.91,0.00827
1.92,0.008384
1.93,0.008337
1.94,0.00843
1.95,0.008635
1.96,0.008643
1.97,0.008456
1.98,0.008192
1.99,0.008043
2,0.007977
2.01,0.000788
2.02,-0.005904
2.03,-0.011398
2.04,-0.015361
2.05,-0.017701
2.06,-0.018342
2.07,-0.017648
2.08,-0.016136
2.09,-0.014123
2.1,-0.011924
2.11,-0.010002
2.12,-0.008499
2.13,-0.007254
2.14,-0.006223
2.15,-0.005806
2.16,-0.005882
2.17,-0.006008
2.18,-0.006278
2.19,-0.006868
2.2,-0.00758
2.21,-0.008201
2.22,-0.008857
2.23,-0.009492
2.24,-0.009952
2.25,-0.010098
2.26,-0.009946
2.27,-0.00975
2.28,-0.009423
2.29,-0.00884
2.3,-0.008252
2.31,-0.007789
2.32,-0.00746
2.33,-0.007324
2.34,-0.007568
2.35,-0.00793
2.36,-0.008294
2.37,-0.008736
2.38,-0.009005
2.39,-0.008956
2.4,-0.008909
2.41,-0.009009
2.42,-0.009219
2.43,-0.009292
2.44,-0.009155
2.45,-0.009063
2.46,-0.009218
2.47,-0.009589
2.48,-0.009912
2.49,-0.009859
2.5,-0.009509
2.51,-0.018735
2.52,-0.02753
2.53,-0.034816
2.54,-0.039987
2.55,-0.04278
2.56,-0.043406
2.57,-0.042295
2.58,-0.040038
2.59,-0.037331
2.6,-0.0345
2.61,-0.031867
2.62,-0.029926
2.63,-0.028878
2.64,-0.028349
2.65,-0.028185
2.66,-0.028764
2.67,-0.029861
2.68,-0.030854
2.69,-0.031577
2.7,-0.032171
2.71,-0.032588
2.72,-0.032988
2.73,-0.033237
2.74,-0.033032
2.75,-0.03266
2.76,-0.032267
2.77,-0.031667
2.78,-0.031085
2.79,-0.030664
2.8,-0.030379
2.81,-0.030281
2.82,-0.03006
2.83,-0.02967
2.84,-0.029563
2.85,-0.029925
2.86,-0.030648
2.87,-0.031381
2.88,-0.03172
2.89,-0.03185
2.9,-0.031995
2.91,-0.031973
2.92,-0.031723
2.93,-0.031323
2.94,-0.030872
2.95,-0.030547
2.96,-0.030458
2.97,-0.030608
2.98,-0.030876
2.99,-0.031232
3,-0.031607
3,-0.031636
3,-0.031665
3.01,-0.0186
3.02,-0.006161
3.03,0.004258
3.04,0.011942
3.05,0.01673
3.06,0.018698
3.07,0.017875
3.08,0.015018
3.09,0.010891
3.1,0.006276
3.11,0.002077
3.12,-0.001212
3.13,-0.003303
3.14,-0.004172
3.15,-0.004105
3.16,-0.003317
3.17,-0.002083
3.18,-0.000807
3.19,0.000325
3.2,0.001043
3.21,0.00148
3.22,0.001821
3.23,0.002101
3.24,0.002262
3.25,0.001907
3.26,0.001349
3.27,0.000939
3.28,0.000762
3.29,0.000813
3.3,0.000752
3.31,0.000464
3.32,0.000219
3.33,0.000236
3.34,0.000381
3.35,0.000501
3.36,0.000573
3.37,0.000514
3.38,0.000521
3.39,0.000592
3.4,0.000491
3.41,0.000198
3.42,2.5e-05
3.43,9e-06
3.44,-8.1e-05
3.45,-0.000202
3.46,-0.000355
3.47,-0.000496
3.48,-0.000578
3.49,-0.000641
3.5,-0.00065
3.51,-0.00044
3.52,-0.000313
3.53,-0.000323
3.54,-0.000405
3.55,-0.00099
3.56,-0.001703
3.57,-0.001906
3.58,-0.001562
3.59,-0.000813
3.6,7.4e-05
3.61,0.000661
3.62,0.001068
3.63,0.001262
3.64,0.001104
3.65,0.000845
3.66,0.000411
3.67,-0.000156
3.68,-0.000779
3.69,-0.000934
3.7,-0.000759
3.71,-0.000666
3.72,-0.000579
3.73,-0.000554
3.74,-0.000557
3.75,-0.000468
3.76,-0.000102
3.77,-2.2e-05
3.78,-0.000244
3.79,-0.000266
3.8,-0.000303
3.81,-0.000841
3.82,-0.001089
3.83,-0.000854
3.84,-0.000463
3.85,7.8e-05
3.86,0.000699
3.87,0.001221
3.88,0.001391
3.89,0.001448
3.9,0.001534
3.91,0.001729
3.92,0.001631
3.93,0.001338
3.94,0.001041
3.95,0.000106
3.96,-0.001101
3.97,-0.001593
3.98,-0.001251
3.99,-0.000441
4,0.000616
4.01,0.001625
4.02,0.00279
4.03,0.004374
4.04,0.005349
4.05,0.004968
4.06,0.003618
4.07,0.00176
4.08,-0.000787
4.09,-0.003393
4.1,-0.004932
4.11,-0.005313
4.12,-0.00396
4.13,-0.001534
4.14,0.000655
4.15,0.002571
4.16,0.003472
4.17,0.003778
4.18,0.005231
4.19,0.00783
4.2,0.011198
4.21,0.014046
4.22,0.013662
4.23,0.00842
4.24,0.001668
4.25,-0.002746
4.26,-0.006324
4.27,-0.00956
4.28,-0.014549
4.29,-0.024549
4.3,-0.033029
4.31,-0.035736
4.32,-1.5708
4.33,-1.5708
4.34,-1.5708
4.35,-1.5708
4.35,-1.5708
4.36,-1.5708
4.37,-1.5708
4.38,-1.5708
4.39,-1.5708
4.4,-1.5708
4.41,-1.5708
4.42,-1.5708
4.43,-1.5708
4.44,-1.5708
4.45,-1.5708
4.46,-1.5708
4.47,1.5708
4.48,1.5708
4.49,1.5708
4.5,1.5708
4.51,1.5708
4.52,1.5708
4.53,1.5708
4.54,1.5708
4.55,1.5708
4.56,1.5708
4.57,1.5708
4.58,1.5708
4.59,1.5708
4.6,1.5708
4.61,1.5708
4.62,1.5708
4.63,1.5708
4.64,1.5708
4.65,1.5708
4.66,1.5708
4.67,1.5708
4.68,1.5708
4.69,1.5708
4.7,1.5708
4.71,1.5708
4.72,1.5708
4.73,1.5708
4.74,1.5708
4.75,1.5708
4.76,1.5708
4.77,1.5708
4.78,1.5708
4.79,1.5708
4.8,1.5708
4.81,1.5708
4.82,1.5708
4.83,1.5708
4.84,1.5708
4.85,1.5708
4.86,1.5708
4.87,1.5708
4.88,1.5708
4.89,1.5708
4.9,1.5708
4.91,1.5708
4.92,1.5708
4.93,1.5708
4.94,1.5708
4.95,1.5708
4.96,1.5708
4.97,1.5708
4.98,1.5708
4.99,1.5708
